state_name,score_range1,score_range2,score_range3,score_range4,score_range5,state_code,state_short
Arizona,0.0,20.0,24.0,28.0,28.0,04,AZ
California,2.6,19.1,26.3,23.2,28.9,06,CA
Colorado,3.0,30.3,24.2,27.3,15.2,08,CO
Connecticut,1.9,27.6,28.6,21.0,21.0,09,CT
Florida,6.1,18.3,30.5,22.9,22.1,12,FL
Georgia,2.5,7.5,30.0,40.0,20.0,13,GA
Hawaii,7.1,21.4,28.6,35.7,7.1,15,HI
Illinois,6.0,13.3,18.1,26.5,36.1,17,IL
Indiana,0.0,11.1,27.8,27.8,33.3,18,IN
Maryland,3.9,12.7,26.5,20.6,36.3,24,MD
Massachusetts,5.5,18.9,25.6,17.7,32.3,25,MA
Michigan,0.0,25.8,9.7,32.3,32.3,26,MI
Minnesota,7.4,29.6,29.6,14.8,18.5,27,MN
Missouri,11.1,11.1,33.3,27.8,16.7,29,MO
Nevada,0.0,23.1,15.4,23.1,38.5,32,NV
New Hampshire,0.0,16.7,16.7,50.0,16.7,33,NH
New Jersey,1.8,13.1,27.6,25.4,32.2,34,NJ
New York,3.9,16.8,23.4,24.3,31.6,36,NY
North Carolina,6.5,22.6,19.4,16.1,35.5,37,NC
Ohio,6.7,13.3,20.0,26.7,33.3,39,OH
Oregon,10.0,15.0,20.0,25.0,30.0,41,OR
Pennsylvania,2.4,18.5,20.2,25.8,33.1,42,PA
Texas,3.0,13.3,20.0,26.7,37.0,48,TX
Vermont,8.3,16.7,33.3,8.3,33.3,50,VT
Virginia,4.1,24.5,24.5,12.2,34.7,51,VA
Washington,2.3,16.3,16.3,23.3,41.9,53,WA
District of Columbia,0.0,35.0,20.0,20.0,25.0,11,DC
Wisconsin,0.0,35.7,14.3,28.6,21.4,55,WI
